Season;Team;cum_mean_GF;cum_mean_GA;cum_mean_Shots;cum_mean_ShotsOT;cum_mean_Corners;cum_mean_Fouls;cum_mean_YC;cum_mean_RC;cum_mean_Points;cum_count_GF;cum_count_GA;cum_count_Shots;cum_count_ShotsOT;cum_count_Corners;cum_count_Fouls;cum_count_YC;cum_count_RC;cum_count_Points
Season 1;Southampton;1.377175599916348;1.565099752506162;10.27351184384543;4.434559504302103;3.919835081243644;11.745214783139199;1.4500226289727092;0.03554695162476617;1.320808907079669;703;703;703;703;703;703;703;703;703
Season 1;Tottenham;1.8267965038042904;1.06427109877391;11.374720760432965;4.892671123586985;4.193682787690194;12.403682857996364;1.266828609167583;0.03140754476742781;1.637079048076193;703;703;703;703;703;703;703;703;703
Season 1;West Brom;0.797226012143196;2.2101795186494155;8.04247764874409;2.685013371849442;3.2493899866452565;10.62362616926368;1.1831056005132468;0.1558232818008197;0.5197290257605675;703;703;703;703;703;703;703;703;703
Season 1;West Ham;1.5011958456627659;1.2517595075250367;12.11636101546831;4.078083719481211;4.631014684131265;10.463623038824489;1.3129864376784197;0.021794869220386398;1.4719938082680515;703;703;703;703;703;703;703;703;703
Season 1;Wolves;1.0235067488037952;1.3012733897209532;11.53586741694124;3.6993945869848006;4.833651706252101;10.700950433783035;1.2380197138901325;0.0;1.3583800864245796;703;703;703;703;703;703;703;703;703
Season 2;Arsenal;1.1913982269912757;1.358801467825813;14.394654545606338;4.581903697354097;5.108315506561526;8.852520632365444;1.379937619547001;0.10438066090429977;1.5233281494126076;703;703;703;703;703;703;703;703;703
Season 2;Aston Villa;1.3829877791423053;1.5038213257549642;11.171123182538901;3.5408331442192402;4.915647470302853;10.23294293726001;2.1043752615869615;0.050759091813482864;1.16024869526466;703;703;703;703;703;703;703;703;703
Season 2;Brentford;1.1574674635611746;1.2173243213559923;10.554320420404988;3.5882756829988356;3.5274342917413666;10.216638283701561;1.5982513607895998;0.06487945784460404;1.2195185749776967;703;703;703;703;703;703;703;703;703
Season 2;Brighton;1.0478347809713553;1.014100628112013;12.038309946963043;3.9701959979637476;5.32334221916832;9.596785889241396;1.9960006037619864;0.04578717585758521;1.5076337122423362;703;703;703;703;703;703;703;703;703
Season 2;Burnley;0.8387735804698275;1.4786898457541067;10.71016721389952;3.2166151684198145;4.773525278842597;9.809371938328265;1.93520581487942;0.009847198279832837;0.6477347648311832;703;703;703;703;703;703;703;703;703
Season 2;Chelsea;2.1425110887870518;0.5673003995537451;14.463523580318697;5.280215677394664;6.06540972843486;10.142434051492144;1.2933337263170699;0.07109437431109647;2.147111003117034;703;703;703;703;703;703;703;703;703
Season 2;Crystal Palace;1.2054848325671241;1.4144554409556125;10.19927418424266;3.1704711968630983;4.072146834124747;10.820074890839322;1.5756278914915152;0.020053518452129163;1.0598674409031603;703;703;703;703;703;703;703;703;703
Season 2;Everton;1.3890746145603712;1.5394559597195983;12.333129594015876;4.095056764069011;4.229363172023458;9.563803623920057;1.992288814715011;0.06381977904493119;1.264063865031271;703;703;703;703;703;703;703;703;703
Season 2;Leeds;1.0531809579357312;2.0907850653560685;13.219326905852089;4.0413793818167765;4.580075033642504;10.855805185479586;2.5124609598065355;0.0659587875965624;0.8511349089899065;703;703;703;703;703;703;703;703;703
Season 2;Leicester;1.4458122446291937;1.6321702697652392;10.873674135471896;4.204208667851098;4.861715221453672;8.331019708243558;1.2844328891948624;0.08425226904793857;1.343903368070525;703;703;703;703;703;703;703;703;703
Season 2;Liverpool;2.5743683599020195;0.6700899312883813;19.441413899940795;7.0422449268659735;8.058244430605642;9.968065285994022;1.1352190582646418;0.020053518452129163;2.2674451012979144;703;703;703;703;703;703;703;703;703
Season 2;Man City;2.231752672627843;0.5360471384914114;18.09283099532617;6.134480770435097;8.535457326297017;8.634775085995125;1.2666058725499676;0.03612152552245822;2.1932420130361656;703;703;703;703;703;703;703;703;703
Season 2;Man United;1.823592263031431;1.3016694169251692;14.154796333198282;5.129784527548662;5.562844005844532;10.087507761033711;2.0006414490337914;0.07014310420812749;1.729919966326838;703;703;703;703;703;703;703;703;703
Season 2;Newcastle;1.119274858191267;2.0675216571102317;11.767464803364861;3.3946826444521;4.403627164277512;9.648024854079644;2.2699636360129;0.042334975814855874;0.7067010268857781;703;703;703;703;703;703;703;703;703
Season 2;Norwich;0.464630484033776;2.2381687718949093;9.827987493262677;2.6933445506809743;4.186307882905636;8.480483211263824;1.5166410406920035;0.06592583025401143;0.46633883758576067;703;703;703;703;703;703;703;703;703
Season 2;Southampton;1.0347544542769278;1.501760086882082;12.0195698682563;4.0244456924706435;5.942131130774437;11.311617541661903;1.6977311190909734;0.06468590445913207;1.0065028383112782;703;703;703;703;703;703;703;703;703
Season 2;Tottenham;1.2467653819514202;1.1249303818731977;11.398065109422559;4.538449189112586;5.0816305005523486;9.725545614321542;1.8074186381447974;0.062322444486535074;1.7965416160735028;703;703;703;703;703;703;703;703;703
Season 2;Watford;1.1104080116738004;1.8179435780873343;10.61650612277245;3.754967883113765;3.9980310804933414;12.820163822491123;1.8581344466205258;0.052890546576516574;0.8644729307655666;703;703;703;703;703;703;703;703;703
Season 2;West Ham;1.9073054084784875;1.2783766190768133;12.110454840207803;4.932217918842609;5.430397584320221;8.191735360889687;0.9732464033419398;0.08689205576745057;1.7349159925755826;703;703;703;703;703;703;703;703;703
Season 2;Wolves;0.7928869551042581;0.8633605635674173;11.635274248345603;3.5259195520387645;4.410676921028323;9.88529139493156;1.757787124466601;0.029560254127033714;1.2826883603486174;703;703;703;703;703;703;703;703;703
Season 3;Arsenal;2.327199096515463;0.9005089164295125;15.516151985254304;5.36118847011985;5.605148063559744;9.859945628124455;1.543004256790102;0.0;2.4816805752995554;703;703;703;703;703;703;703;703;703
Season 3;Aston Villa;1.0451936973672218;1.4211171306051444;11.164125485963746;3.766954633968734;4.063742007169875;11.442786908867689;2.1956079063607468;0.033489946575089795;1.1744616732592716;703;703;703;703;703;703;703;703;703
Season 3;Bournemouth;0.9293690906336224;2.069406678998854;7.641697229827895;2.900226240892527;3.530383858447277;10.565166553677095;1.7943919466554727;0.0;1.0381278851579545;703;703;703;703;703;703;703;703;703
Season 3;Brentford;1.6977420310508167;1.4242373212961332;10.307921628513583;4.228237726109645;4.737189703549805;8.11581295839802;1.2161610935074787;0.009135960726490021;1.360634186689888;703;703;703;703;703;703;703;703;703
Season 3;Brighton;1.7061973437877596;1.1594431531600307;14.038926124434397;5.452765065572272;5.614550313686978;10.175719663471265;1.3007135555790306;0.0;1.7053995781897937;703;703;703;703;703;703;703;703;703
Season 3;Chelsea;1.1319471322353956;1.097511613700632;11.977254590882238;3.9064185107853193;6.1788224607381705;10.324081734626695;1.9773428608713088;0.15347033724976072;1.499660672192914;703;703;703;703;703;703;703;703;703
Season 3;Crystal Palace;0.9601189300467211;1.3650468760152923;10.347268879187013;3.5788988433430733;3.908394853529566;11.806344323598745;2.0655453858402764;0.061201995804916795;1.0795408518124625;703;703;703;703;703;703;703;703;703
Season 3;Everton;0.7291367162510113;1.242740293701731;10.54175477644731;3.7676522542617783;4.616760495331037;9.498532361627543;2.221993220947355;0.011809374032643266;0.8045122584596021;703;703;703;703;703;703;703;703;703
Season 3;Fulham;1.4941345816855784;1.4622692497586958;11.20070477081427;4.011865768483605;4.483095632765852;9.995373191963495;2.375493734006627;0.042334975814855874;1.372811178184034;703;703;703;703;703;703;703;703;703
